Year,Trades,Win%,PF,Net Pips,Net USD,Avg Pips
2002,101,27.7,0.89,-140.9,-112,-1.4
2003,287,25.8,0.99,-44.3,-30,-0.2
2004,197,24.4,0.79,-558.3,-419,-2.8
2005,232,36.6,1.42,922.2,673,4.0
2006,250,27.6,1.02,59.0,36,0.2
2007,222,34.2,1.55,1570.2,997,7.1
2008,259,31.7,1.45,2834.9,2006,10.9
2009,256,27,1.06,397.6,281,1.6
2010,243,29.2,0.89,-506.7,-459,-2.1
2011,233,25.3,1.07,255.5,223,1.1
2012,241,29.9,1.66,1747.2,1633,7.2
2013,254,24.4,1.05,191.3,155,0.8
2014,198,26.3,1.07,168.0,108,0.8
2015,235,30.6,1.08,286.9,235,1.2
2016,253,30,1.26,912.3,782,3.6
2017,190,30.5,1.33,582.7,465,3.1
2018,239,30.1,1.11,310.0,244,1.3
2019,238,28.6,1.17,335.8,284,1.4
2020,241,27.4,0.82,-439.3,-369,-1.8
2021,232,33.6,1.43,708.8,546,3.1
2022,235,28.9,1.15,620.5,443,2.6
2023,174,32.8,1.66,1526.4,1001,8.8
2024,244,30.3,1.00,-3.4,-8,0.0
2025,244,28.7,1.15,597.0,321,2.4
2026,16,37.5,1.60,111.2,60,7.0
