Year,Trades,Win%,PF,Net Pips,Net USD,Avg Pips
2000,91,35.2,1.75,798.3,798,8.8
2001,177,29.4,1.08,162.1,162,0.9
2002,207,26.1,1.29,575.1,575,2.8
2003,232,31.9,1.45,1205.6,1206,5.2
2004,250,29.6,1.04,145.0,145,0.6
2005,223,29.1,1.27,705.9,706,3.2
2006,203,31.5,1.40,752.9,753,3.7
2007,229,27.1,1.04,90.7,91,0.4
2008,244,32,1.61,2607.2,2607,10.7
2009,217,31.8,1.11,407.1,407,1.9
2010,230,31.3,1.64,2200.0,2200,9.6
2011,266,27.1,0.96,-195.4,-195,-0.7
2012,224,29.5,1.00,10.4,10,0.0
2013,274,29.6,0.96,-127.9,-128,-0.5
2014,264,27.7,1.23,501.1,501,1.9
2015,231,23.4,1.11,347.8,348,1.5
2016,259,26.3,1.21,538.0,538,2.1
2017,205,30.7,1.54,919.2,919,4.5
2018,185,30.8,1.27,495.9,496,2.7
2019,234,23.9,0.91,-134.1,-134,-0.6
2020,246,32.5,1.18,405.5,406,1.6
2021,223,29.6,1.10,145.3,145,0.7
2022,252,24.2,0.91,-274.7,-275,-1.1
2023,207,30.9,1.01,12.0,12,0.1
2024,258,30.2,0.93,-139.7,-140,-0.5
2025,215,27,1.34,596.4,596,2.8
2026,29,24.1,0.59,-189.9,-190,-6.5
