Year,Trades,Win%,PF,Net Pips,Net USD,Avg Pips
2000,90,26.7,1.12,145.0,145,1.6
2001,218,30.7,0.82,-526.4,-526,-2.4
2002,187,26.7,0.95,-137.6,-138,-0.7
2003,230,33.9,1.46,1393.0,1393,6.1
2004,202,30.2,1.35,1308.4,1308,6.5
2005,212,29.7,1.25,862.4,862,4.1
2006,233,26.2,1.15,501.6,502,2.2
2007,236,27.1,0.92,-230.8,-231,-1.0
2008,269,30.1,1.25,1605.8,1606,6.0
2009,218,28.4,0.91,-618.4,-618,-2.8
2010,243,27.6,1.10,412.6,413,1.7
2011,218,28,1.08,272.5,273,1.3
2012,238,25.2,0.77,-668.3,-668,-2.8
2013,234,31.6,1.54,1363.8,1364,5.8
2014,227,26,1.07,174.4,174,0.8
2015,220,29.1,1.32,863.1,863,3.9
2016,189,28,0.92,-255.1,-255,-1.3
2017,222,29.7,1.07,172.6,173,0.8
2018,179,32.4,1.32,655.1,655,3.7
2019,233,24,1.10,278.5,279,1.2
2020,212,27.4,1.30,889.9,890,4.2
2021,226,28.8,1.17,416.5,417,1.8
2022,224,33.5,1.32,1089.9,1090,4.9
2023,185,29.2,1.22,485.3,485,2.6
2024,214,31.8,0.94,-121.6,-122,-0.6
2025,250,26,1.06,150.1,150,0.6
2026,20,20,1.46,125.9,126,6.3
