Year,Trades,Win%,PF,Net Pips,Net USD,Avg Pips
2000,86,27.9,1.08,78.2,56,0.9
2001,196,26,1.26,851.2,662,4.3
2002,153,28.1,1.23,470.6,406,3.1
2003,217,34.6,1.36,700.4,621,3.2
2004,251,27.1,0.98,-38.8,-39,-0.2
2005,259,32.8,1.19,455.8,387,1.8
2006,253,26.9,0.93,-197.4,-159,-0.8
2007,229,26.6,1.30,689.8,604,3.0
2008,226,28.8,1.03,145.2,106,0.6
2009,243,29.2,1.01,36.6,25,0.2
2010,261,31,0.95,-138.8,-145,-0.5
2011,256,25,0.84,-302.0,-393,-1.2
2012,234,29.5,1.34,492.3,611,2.1
2013,217,25.3,1.47,1136.1,1149,5.2
2014,194,29.4,1.39,626.3,553,3.2
2015,253,27.3,0.72,-783.0,-656,-3.1
2016,231,33.3,1.42,1336.0,1206,5.8
2017,219,28.8,1.09,168.5,151,0.8
2018,268,29.5,1.09,172.5,162,0.6
2019,218,27.5,0.86,-251.7,-235,-1.2
2020,243,27.2,1.36,590.0,570,2.4
2021,200,23.5,0.98,-12.0,-19,-0.1
2022,240,33.3,1.83,2368.4,1802,9.9
2023,202,28.2,1.28,875.2,628,4.3
2024,230,31.7,1.87,2489.7,1655,10.8
2025,219,26.5,1.09,284.6,196,1.3
2026,28,17.9,0.52,-250.4,-161,-8.9
