Year,Trades,Win%,PF,Net Pips,Net USD,Avg Pips
2009,148,24.3,1.14,448.1,448,3.0
2010,257,27.2,1.13,731.8,732,2.8
2011,242,30.2,1.37,2872.7,2873,11.9
2012,250,24.8,1.21,1303.6,1304,5.2
2013,215,28.8,1.74,4022.6,4023,18.7
2014,227,29.5,1.12,501.3,501,2.2
2015,199,26.1,0.97,-127.6,-128,-0.6
2016,206,25.2,1.24,1072.0,1072,5.2
2017,191,27.7,1.01,45.5,46,0.2
2018,221,25.8,0.99,-47.0,-47,-0.2
2019,231,25.5,1.22,830.7,831,3.6
2020,230,23.9,1.06,437.7,438,1.9
2021,202,28.2,1.12,672.8,673,3.3
2022,199,31.2,1.01,76.4,76,0.4
2023,217,29,1.20,1174.2,1174,5.4
2024,232,30.6,1.41,3209.5,3209,13.8
2025,243,27.2,1.55,7603.6,7604,31.3
2026,32,31.2,1.70,2709.6,2710,84.7
